src,ref
And I'll actually also try to get back to this because it's probably one of the things that we'll disagree with on the list that you wrote down.,这个我往后还要再谈一下， 因为这可能是我们的清单跟你的清单 其中一个不同的地方。
"How many of you found it really, really annoying?",有多少人觉得很烦人？
"So, how do you do that?",那么你如何做到呢？
And it's one after the other.,这是后面一个
Wednesday night is eating disorders.,周三晚上是饮食紊乱问题
"Parsnips that are too small for supermarket specifications, tomatoes in Tenerife, oranges in Florida, bananas in Ecuador, where I visited last year, all being discarded. This is one day's waste from one banana plantation in Ecuador.",对超市来说太小的欧洲萝卜， 特内里费的西红柿， 佛罗里达的橙子， 厄瓜多尔的香蕉，那是我去年去过的地方， 都被丢弃了。这是厄瓜多尔的 一个香蕉种植园一天之内的废弃量。
And let me just tell you a little bit of how that came about.,让我先简单介绍一下这些动画的来源吧，
But it clearly cools down.,但是很明显的是：温度下降了！
That's what it was like then.,这是那时的情况
"We give you very, very simple sentences along with what each word means.",我们给出非常简单的句子 以及句中单词释义
"This is Daniel; he's one of our students in Arctic Village, Alaska.",这位是丹尼尔， 他是阿拉斯加州北极村的一位学生。
"Now, the thing I remember about Siwa was the magical view of the sky at night.",现在，我能想起关于锡瓦的 就是它迷人夜色天空
Let's make it concrete.,说的具体一点
"Anyway, I don't know what my friends are going to say after this talk.",（笑声） 我不知道我的朋友们看完这个演讲之后会说什么。
But let's take the idea further.,我们把这个想法再推进一步。
The information you need to do this is not secret.,你做事所需要的信息不是秘密
We again personalized the risks.,我们再次根据个人情况评估风险。
And then one of two things will happen.,一般出现的情形都不过以下两种
"And really commenting, you know, based on the perception we have of the celebrities.",这些评论 根据我们对名人的看法
Seems like that would be an inconvenience.,却显得方便多了。
"We get one from mom, one from dad.",我们从母亲那继承一半，从父亲那继承一半。
"To understand and use it sanely, as a part of the civilization yet to evolve requires a vastly larger population of scientifically trained people like you.","由于人类的一部分文明还需要进化, 理解并理智地使用知识 需要大量的像你们一样受到科技教育的人,"
So I get two sources.,所以感官回馈现在有两个来源
You will understand nothing with my type of English.,你们将很难听懂我的英文。
"Every time you do something, you get credit; you get a credit for trying.",每次你做一些事，你得到功劳，你因尽力而为获得认可
"The institutional model always pushes leftwards, treating these people as employees.",采用机构的模式正如这条曲线重心左倾一样， 只把左边这部分人当作员工对待。
"The only rule is, we have not to have any idea about the next story.",唯一规则是，我们不必有关于下个故事的任何想法。
"I mention in my book, ""They Call Me Coach.""",我在《他们叫我教练》这本书里面提到
"And not tough in the sense that most people think of, where your parents yell at you or hit you or whatever.",但是不是人们通常想象中的那种苛刻， 父母训斥你或者打你或者其他类似的。
"But that's too complicated for today, so I'll simplify it for you, and I give you one average point for each survey.",但这样看起来太复杂了，所以我会为你们简化这些数据， 所以我就把这些数据平均一下。
It's meant to be a bit of a game.,它有点像游戏
I guess you won't be surprised if I tell you that Pinocchio is one of my great influences.,我猜如果我告诉你们匹诺曹是对我影响极深的人之一 你们一定不会惊讶
We're hardwired to become leaders of the pack.,（众人笑） 我们天生就喜欢做领导
I'll just quote from the specification.,让我念一段说明给你们听
Why wouldn't they just go to a shop and buy a bag of nuts that somebody else had already cracked open for them?,为什么它们不去商店买上一袋坚果 在那里已经有砸好的坚果为它们准备好了？
Or just try this one on for size.,或者试试这个
They were surprised by all of these kinds of issues.,他们为之而感到惊讶
And that's pretty much my response.,我的反应大概就像这样。
"It hit in what we now know as Yucatan, the Gulf of Mexico.",它所撞击的地点 是现位于墨西哥湾的尤卡坦
I'm going to give you some examples.,我这里会给大家展示一些例子。
"The reason he never made any of them, he's a classic nerd.",原因就是他是个典型的书呆子
And you crank it several times.,你把它迭代多次。
People reuse it for a slab for their home.,一些人用它来做杂物房。
"And then also, like it said in the video, you can turn it left or right just by putting the lift under one wing or another.",接下来，就像影片里说的， 你能让它左转右转， 只要在一个翅膀加一点上升力就好了，
"And compassion is unleashed in wider and wider circles by signs and stories, never by statistics and strategies.",同情被释放在 更加广阔的范围内 通过标志和故事， 而不是数据以及政策。
And then count down the days and see what people ended up eating.,然后让我们等到那一天 看看人们最后吃的什么吧
"Unaided human intuition schooled in Middle World finds it hard to believe Galileo when he tells us a heavy object and a light object, air friction aside, would hit the ground at the same instant.",在中观世界中得以调教的人类直觉，在没有受到协助的情况下， 会很难相信当年伽利略告诉我们 一个重物和一个轻物在不考虑空气阻力的情况下 会同时落到地面这一事实。
You should lose points for not doing this on time.,没有做到就要被扣分。
And the first thing I did was started recording when they turned up in the Maldives.,于是我做的第一件事就是开始记录 它们在马尔代夫出现的时间。
We're talking to something.,我们说的这些东西。
What then of manned space exploration?,那载人的空间探索呢？
"Ladies and gentlemen, the Scottish Ensemble.",（音乐） 女士们先生们，苏格兰乐队
And just watch the facial expressions as they move the slider.,移动光标 查看面部表情
And then you slowly build up a theory of how this stuff works.,然后你慢慢地明白了 这个事情是怎么工作的。
"And as you can imagine, I hated that moment of ripping with incredible intensity.",你可以想象 我非常痛恨撕开绷带 极端痛苦的那刻
"And when you get a jaw drop, you can inform.",在吃惊的同时，她也会学到很多。
"Whenever I talk to kids, I always like to tell them, the biggest animal that ever lived is still alive.",每当我跟孩子们聊天，我总是喜欢告诉他们， 有史以来最大的动物仍然活着。
And let's cut the crap for a second.,让我们进入正题。
"And it's frightening, isn't it?",这令人恐惧，不是么？
But you go back to the same vent eight years later and it can be completely dead.,但是如果你八年后再次回到这个热液喷口， 它可能已经彻底死亡了。
Some of them might be ones you gave.,有一些可能是你们捐的。
"But it's a hard process to do because, as you know, the middle of a star is quite hot, almost by definition.",但这个过程却是十分艰难的， 因为星体的中心，如你所知，是非常炽热的， 这一点不难想象。
There is just a little test screen that shows that it's working.,这只是一个测试页，试看看它工作的怎么样。
And then someone else has something the complete opposite of yours.,而有些人 和你的列表完全不同。
"And if there is a partial answer, a more complete answer from me, it is to simply imagine.",如果有一个片段的答案 一个更完整的答案 便是简单的想象
"You could think of it personally in your own terms, of how you might use it.",你可以试想如果你有一辆飞天车 你将如何使用它。
Let's just run a quick diagnostic before I proceed with the rest of the talk.,在我继续我的演说之前让我们来做一个简短的试验。
I'll show you one of those in a second.,很快我会向你们展示到其中的一个。
"And take us through those, and introduce us to another Yemen.",给我们讲讲这些照片， 给我们介绍一个不一样的也门。
"No reference checks. None of the usual background stuff, no.",没有按常规检查背景，不要推荐人
These are volcanic stones laid by hand.,这些是用手铺的火山石。
"Some, they're just right there, right there. Put them right there.",就地取材嘛。
All we have to do is look at what one company did with carbonated prune juice.,我们所需要做的就是看着 一个公司如何销售西梅味的汽水。
And that's how GPS was born.,这就是全球定位系统是如何诞生的。
That's kind of ridiculous. It's a total decoy.,这真得很可笑，很荒谬。
"And also, what one of the speciality we are doing, my design is tracking the global warming effect on biodiversity, and what the impacts of the Ituri Forest is playing to uptake carbon.",同时，这也是我们所专长的 我的设计是在生物多样化方面跟踪全球温室效应 而伊图里森林所起的影响是吸收二氧化碳
"So, everyone told me afterwards that inviting the prospective parents over was, again, the stupidest thing I could have possibly done, because who's ever good enough for your relative?",当然事后，所有人都和我说，请愿意领养的父母飞过来， 是我能做的最愚蠢的事情。 因为谁会比亲戚更亲呢？
What is it that they're happy with?,它们喜欢什么？
And we replay that to the other hand with a time delay.,这时候我们把这个移动加上某个时间延迟，在另一只手上重放
We call them bastards.,我们称之为混蛋。
We shift the gravitational center of it.,我们可以转移它的重心。
"Now of course, we play a trick here to make the translations as good as professional language translators.",当然 为了让翻译达到专业水准 我们也想了个办法
And that's what the lawn was.,这就是草坪。
And then the city of Amsterdam gave us a plaza and asked us to do something.,（笑声） 阿姆斯特丹市 给了我们一个广场，并要我们做些事情
What if it was from a source like this?,如果是出自这样的水源呢？
"The metaphor of Mahishasura Mardhini, of Durga.",湿婆神的意象 杜尔迦女神
And I've tried to put together something that's a good start for this.,我一直试着整理出一些东西来开个好头。
And in that area we started growing some acacia trees that you just saw before.,在这些区域，我们开始栽种越来越多的合欢树 如同你们之前所见到的
"Undoubtedly, Nigeria is clearly a hot spot.",毫无疑问，尼日利亚是一个明显的热点。
"And when you start, you cannot stop.",一旦开始 就一发不可收拾了
And there's different text.,另外还用不同的语言
I'm going to just focus on two.,我就挑其中两个说。
And it's addressed to a certain person.,我将它送给一位特定的人。
Well it turns out that the secret was broccoli.,秘密居然是花椰菜。
You can be serious and play.,你可以严肃又好玩。
We're going to zoom in and zoom in.,我们将会不断地放大
And now I'm highlighting a few dots.,我这里着重挑选了几个圆点，
I'll show you a few examples of this now.,下面我将给大家展示一些案例。
And I was having fun with it.,我乐在其中
"For example, I get people to dress up their vacuum cleaners.",例如，我让人们装扮他们的吸尘器。
Those shapes are parabolas.,抛物线形状。
Can you give us a sense of what they are and maybe some incident in your life that helped determine them?,你能向我们描述一下 或者说明你人生中的何种变故 使你产生了这样的价值观呢？
Do it as long as necessary until you have mastery.,一直练习直到你精通它为止。
Now what would that look like?,那将会是怎样的情景？
It looks over what's going on.,它只会充当一个旁观者
And I'm coloring these small windows blue if another virus shares an identical sequence in its genome to that virus.,然后我将这些小玻璃染成蓝色 如果有另一个病毒有着和那个病毒相同的 基因序列.
Otherwise you'd flood your entire town with warm porridge.,否则，整个城市将被温燕麦粥淹没。
"My favorite example is a drill. Who here owns a drill, a home power drill?",我最喜欢的例子是钻头的例子，在坐的谁家有钻头？家用型的？
This is a remote center at the University of Washington.,这是设在华盛顿大学的远程中心。
So here we go.,那我们开始。
These are cellular mobile phones.,蜂窝式移动电话.
And it just sounds like the most egotistical request you could make if you were going to pray.,听起来就像是一个人在准备祈祷的时候有可能提出的 最以自我为中心的要求。
"We all have bodies, don't we? Did I miss a meeting?",我们都有体会，对吗？
What are the exact instructions that are making it do that?,究竟是什么样的指令在其中起作用呢？
Let them be on instant messengers.,让他们网聊
I wish I had that when I was in college.,我希望我在大学时就有这个网。
"And hopefully, any inventor, anywhere in the world, will be able, in the moment of creation, to type in, ""How does nature remove salt from water?""",但愿，所有发明家，甚至世上的所有人 可以在他们灵光一之际，可以输入： 大自然如何去除水中盐分
So we have the Long Now Foundation in San Francisco.,长久基金会就在旧金山
Let me go one step further.,让我们再进一步看。
"And if you type the correct word for the one for which the system already knows the answer, it assumes you are human, and it also gets some confidence that you typed the other word correctly.",如果你能拼写正确 系统已认知的那个单词 就判断你为真人 这样对你输入的另一个单词就有所把握
"And it goes back and forth, you know?",反复的验证，你们明白吗？
So now let me introduce some of my fictional artists to you.,因此现在让我向各位介绍一些我的虚拟艺术家。
That's the Sun at that end.,末端是太阳。
And then I asked for verification.,我要他们证明给我看
"Well, what I'm doing is controlling the pitch with my left hand.",呃，我是这样做的，噢！ 用左手来控制音高。
You all know what happened.,你们都知道发生了什么
They talk about corruption.,讲到腐败
So we have countries living there.,所以我们还有国家生活在那里。
And the beauty of what's going on there is that the tone of the conversation is the tone that I like.,这个网站最关键的一点就是 他们的态度正是我所喜欢的态度
"But you see, it's still generic.",但你可以看到，它仍然是泛泛的
And that's desperately what we need again on a global scale.,而这一特点是我们又重新迫切需要的 全世界都是如此
And that alternates with a sediment that looks like this.,然后沉积物就像这样交替出现。
"These are the airports that I hang out in, because I like airports.",（笑声） 这是些我去过的机场 因为我喜欢机场
They were a pervasive presence.,到处都是。
You can see it deflating.,你可以看到它在收缩。
And it turned out to be a pretty good year for this guy.,那一年对我们来说真是意义重大
The napalm is burning there quite nicely.,那些凝固汽油燃烧得很不错。
So the grain markets were to the south of the city.,因为市场在城市的南部
But I'll spare you that.,（大家笑） 关于这个我就不多说了。
"And again, there's a valid test of what your five highest strengths are.",对了，有一个挺准的测试 测你最大的五个优势
Think of it in the following terms. Think of it as beginning to program stuff for specific purposes.,请用以下的理念去考虑问题。把这事想象成 为了某种特殊目的开始一项计划。
This is how it looks pretty much every day.,它平日看起来就是这个样子。
So let me just show you a couple of examples of what they used to look like.,我给大家几个例子 展示它们以前的样子
You don't need a model.,你不需要
"You should know, the clitoris of the pig, inside the vagina.",（众笑） 要知道，母猪的阴蒂在阴道内
So we were inspired to create a project where men will pay tribute to women by posting their photos.,由此我们希望做一个歌颂女人的项目： 让男人来张贴女人的肖像照， 以此来歌颂女人。
"I would be a jerk and not tell you what it is, but in fact, it's Central African Republic.",如果不告诉你们是什么国家，你们会骂我的 好吧，实际上它是中非共和国
"Let the thing assemble, and you'll get some kind of a circuit.","让这些东西组装起来,你就能得到一个电路板"
"So, I think he's Icarus and Phoenix all in one guy.",所以我觉得他是伊卡洛斯和菲尼克斯的合体。
"Anyway, I'm out of time.",我没时间继续了。
"You get hints, the actual steps for that problem, if you don't know how to do it.",如果你不知道怎样做的时候， 你会得到提示，实际解决问题的步骤。
You can just call it out.,直接说出来就行
"The idea is that we can just type this in, this kind of question in, however we think of it.",（笑声） 想法就是我们输入一些好奇的问题 不论是什么奇怪的问题
But let me just try a couple.,但我只列举几个就够了.
You've got to just respond to the situation.,你只能被动作出反应。
So here's the description of a group I found on the Web.,这是我在网络上找到的一个组织简介
"And this should be presented factually, straightforwardly, with no particular spin, to all of the children in the country.",内容应该有事实根据，直言不讳 不带任何偏见地教给全国的儿童
And then we follow the process I've described.,然后孩子们遵照我描述的过程。
We were just hunkered down in our tents at Camp Three.,我们只是困守在 三号营的帐篷里。
"So they have invested all their money into there, and the blue bar, class size, is driving costs up.",所以他们把钱花在那里了， 从这根蓝棒可以看出，小班教学使办学经费大幅增加。
And I will go you one further.,我还想更进一步地来说。
"Now, he's selling them to Walmart.",现在，他和沃尔玛做生意
And you can just imagine them.,你可以想象这些。
But there is a catch. Of course there is always a catch in these cases.,但这其中却是暗藏玄机，当然了，这么好的事情的背后总是暗藏玄机。
Imagine I give you a choice.,如果我给你一个选择，
And here's the first attempt to have it work on some load.,这是第一次试验将其粘在同样的表面上。
"Now, while I'll let it circulate for a little more, let me tell you a little bit about superconductors.",现在，我会让它循环更多一些， 让我告诉大家一些关于超导体的知识。
It felt wrong to do that in some way.,这样做感觉好像有点怪。
Let's continue with that same excerpt.,让我们继续
"After five days of crossing the Drake Passage, we have finally arrived at Antarctica.",横跨德雷克海峡后 我们终于来到了南极洲
We still have Paradise.,男人：那就让我们在死亡面前平等些吧，
But don't ignore what you've asked them to do.,但是，别忽视你要求他们去做的事情。
So no human interaction.,没有任何人力的影响。
And that's the beautiful thing about the camera.,这就是摄像机的魅力所在。
They're beautiful. They're bamboo.,它们很美. 它们是竹子.
"It's sort of this ""duh"" thing.",听起来像是很傻。
I think I'll start out and just talk a little bit about what exactly autism is.,"我想，我就从解释 自闭症是什么, 来开始我的演讲吧"
"Everyone I met, I felt I knew them for as long as I could remember.",所遇之人 都如故人一般熟悉
And the people that went there absolutely loved it.,观众对那场演出都十分满意
"And if you're not, you have to pretend to be slightly bored with everything.",如果你不是，也要装着对每一件事都觉得有点乏味。
"It's got to be America, right?",这一定是美国，对吧？
The idea is like this.,这个理论的观点是
"All this data about you should just be conveyed, and you should do it once and that's all that should happen.",所有关于你的资料都应该被传送， 你只需要做一次，就这样。
"There's also a search capability, if you're interested in finding out about a certain population.",如果你想看看具体某些人的情况的话， 它还有搜索功能。
"Effectively, the Taliban create a complete blackout of any other source of information for these children.",这样，塔利班 完全禁止孩子们 接触其他资讯。
"Well actually, you are going to whistle along.",好的，事实上，大家要一起吹。
"When our fears are unbounded and overblown, we're reckless, and we're cowardly.",当我们的畏惧失去节制并无限膨胀的时候， 我们会变得鲁莽大意，或者胆小如鼠。
And I sort of get it.,我获得了些成果
"Or, I want to look at anxiety, because people are praying for anxiety.",或者，如果我想关注焦虑的情况，因为很多人因为焦虑而祷告，
"And when it finds one of those phrases, it grabs the sentence up to the period, and then automatically tries to deduce the age, gender and geographical location of the person that wrote that sentence.",如果发现这些词组， 就提取这一整句话， 然后自动试着推断写这句话的人的 年龄，性别和地理位置。
And then you just focus on this person.,然后你就会把全部的关注放在这个人身上
You also have to do it.,你必须要身体力行。
"So, very briefly, I'll just explain to you how this is done, because that's the more interesting part.",（掌声） 所以，我已经向各位简要介绍了这个设备的基本工作方式 因为这部分比较有趣
"And you can break it out by counties, because it's specific counties.",你可以通过观察各个县得出结论
I work direct with the right brain.,我是直接运用右脑
"And then of course, I blame the Soviet Union.",当然，我要把这归咎于前苏联
So let's go through a couple of those.,让我来举些例。
There is a game called Rush Hour.,有个游戏叫尖峰时刻。
And that's about it.,就是这样。
Stick with the definition.,请忠于定义。
So let me give you an intuitive example.,现在我举一个直观的例子
A meme is not equivalent to an idea.,迷因不等同于一个想法。
You could do the whole thing with addition.,只用加法运算就可以搞定一切。
But what is most amazing is the effect on girls.,但最惊人的是这在女孩身上起到的作用。
Now go ahead and cut.,现在把线切断
"Of course, what happens when they eat the potato chips?",然而，他们吃薯条的时候会怎样呢？
"The only question is, how short can you get?",那么问题是：要多短？
And it's used for communication.,可以用来交流，
And you have to have rational projections and stuff.,你要有理性的计划。
"But, you know, after all, they're nice to me.",但是，你也知道，毕竟，他们对我很好。
Go find a friend and explain to them how you made that decision.,找到一个朋友，向他们解释 你是怎么做决定的
"I don't think anybody does it intentionally, but there were people there literally talking about, ""Well, how much will they get?""",我不并是说有谁是故意这样做的， 但是，有很多人一直在强调 他们可以得到什么。
And I'm just going to read one of them to you.,我来给你读一段
And here is a little bit of the technology that's involved in that.,这是以上这 些科技的小小展示。
But the election magic doesn't stop there.,但，选举的魔力不会因此消失
"And as I look forward to what is next, it's been helpful to reflect on the things I've learned so far.",当我寻找下一个目标时 我至今学到的这些是非常有帮助的
You can also rank it by the latest posts.,也可以根据更新的帖子排名
And I'll just give you two examples of this because of the time constraints.,时间关系我就只举两个例子吧。
"If you have errors, you can replace a part.",如果遇到错误，你可以替换一个部分。
I'll get into why that is in just a minute.,等一会我会解释这是为什么
And then you take me back to your logo.,然后你再从新展现给我你的标志。
Also the visual separation.,视觉部分也差不多.
Afterwards someone said that God must have been looking after them.,后来有人说，一定是上帝在保佑他们。
"So, what do you think?",你们觉得呢？
"So what is this? I hear you all ask. No, I don't.",这是什么啊？我听到你们问了。不，我没听到。
Then I arrange them so I can get them quick.,"然后我将它们排好, 这样我就可以 快速将它们抓出来--"
I'll just give you one example because time is racing.,因为时间有限，我就只举一个例子。
"Moreover, he invites us to look under the hood.",更多的是，他邀请读者深入了解他的观点
And they are having great fun.,他们玩的也很高兴
But also have the body language communicate something to the person who is looking at it.,更主要的是这种身体语言可以真正的 与那个看它的人沟通交流。
Let me highlight it for you.,我来强调一下．
"Last story, a few years ago, a friend of mine gave birth.",最后一个故事。几年前，我一个朋友要生了
"And I said, ""Well, that would be great!""","然后我 说：""哇! 这很棒喔!"""
Here are the results of what I just showed you.,这就是我刚刚给大家看的结果
So I'm going to show you a factoid.,所以，我先让你们看个数据
"And I said, ""So, you believe the Native Americans are descended from a people who were totally evil?"" And they said, ""Yes.""",然后我说：你们相信我们美国人都是 那些邪恶到骨子里的人的后代？ 他们说：是的！
They're people getting out of poverty as fast as they can.,他们正在以最快的速度摆脱贫困呢
"And just for contrast, we can do this with any word.",相对，你也可以为其他词汇勾勒词景
But how do you do that?,但是你会怎么去做？
Ready? So here it comes.,准备好了吗？它来了。
"I mean, if you had to solve one of these problems, Chris, which would you solve? Terrorism or poverty?",我的意思是，如果你必须去解决其中的一个问题， 你会选哪个？恐怖主义还是贫穷？
You'd be fed a simple audio clip.,你会收到一份简单的视频短片。
Let me show you a couple of examples here.,我来展示几个例子
Now we're shining right back up.,现在，轮到我们用光亮照耀天际了
"We were risk takers, of course.",当然，当时我们也是风险承担者。
"It is always the same, never the same, endlessly fascinating.",它虽为永恒却也无常， 它有着无穷尽的迷人魅力。
So it sounds like a great story.,听起来这是个很了不起的故事。
Let me give you a little sense of how this would work.,让我来用一个简单的道理演示这如何工作。
There aren't a lot of good words for the concepts we're going to talk about.,因为没有多少适合的词语去表达 我们将要谈到的概念。
I call it cognitive surplus.,我称它为认知盈余。
"Maybe a decade, according to my friends in Detroit.",在底特律的朋友说，也许要十年。
But I want to be able to make them not messy.,我想要把它们弄清楚。
So let me talk about hydrogen first.,我先谈谈氢气吧
And there isn't always a translator available.,而且你还不总能找到翻译
Let me try to take this one step further.,（掌声） 我再来试下更有难度的。
But let me give you a different perspective on the same story.,但是我来给大家一个不同的视角来看待相同的故事
The yellow box was called the administration complex.,这个黄色的盒子叫行政办公区.
"In addition to that, it's listed, the artist's name, the location, how long they spent drawing it.",此外，还有艺术家们的名字和所在地， 以及他们制作该图像所花费的时间长短。
It was about the norms for cheating.,而是一种作弊的典范
"They go to church, by which I mean, they do lots of things for free for each other.",他们去教堂，我指的是， 他们为其他人做了很多事，并且是免费的。
And please raise your hand if you'd say you are right of center or conservative.,如果你觉得你是中间偏右或保守党﹐请举手
So here's the next challenge.,下一项挑战任务来了
"All right, here it is backwards, and see if you can hear the hidden messages that are supposedly in there.",好的，接下来是倒转的版本。 看看你是否听得出里面应该藏有的讯息。
I want to talk about penguins today.,今天，我来谈谈企鹅。
So how is that being accomplished here?,看看这是如何在这个国家实现的
And you may have more or less neurons.,你可能有或多或少的神经元。
And you can see there they're shopping with their helmets.,如你所见 他们连购物都带着头盔
But you've never seen this one before.,但是你之前从没见过。
People were making misjudgments all the time on her mood.,人们总是错误的判断 她的情绪。
How do groups get anything done? Right?,一群人要如何完成某项任务？
"You can think of it as a way of, sort of, typing, with your eyes.",你可以这么认为，就好像你在用你的眼睛打字输入一样。
So here is the puzzle.,有趣的是，
We call these behavioral markers.,我们称这些是行为的记录者。
You fake it and make it. This is the mantra of the United States of America.,你先假装会干，然后再慢慢学。这就是美国人最推崇的。
"It also happens to be male and, in theory immortal.",而且这是棵雄性植株， 理论上说是不育的。
You remember we used to make steel in Pittsburgh?,还记得匹兹堡以前生产钢铁吗？
So let's give it a try.,所以呢，我们来试试看
I want to give you a brief explanation of how we looked at it and how it works.,我将简要介绍它如何工作以及我们如何利用它。
Now let's say you're having that exact same conversation with someone deceptive.,在看看你与一个不诚实的人进行同样的对话 会是什么情况
And the rationale for this behavior is explicitly religious.,宗教往往是这些做法背后的理由
"And as a designer, I can't help meddling with this, so I pulled it to bits and sort of did stuff like this, and tried to understand what the individual elements were, but feeling it as I go.",作为一个设计师我忍不住一探究竟 我把图片像这样分割 然后尝试理解各个部分 当我去感受时
We were actually recording history.,其实就是在纪录历史。
You can also toggle between altitude for model and manufacturer.,你也可以切换海拔高度 查看型号和生产商。
"Having a native speaker allow you to deconstruct their grammar, by translating these sentences into past, present, future, will show you subject, object, verb, placement of indirect, direct objects, gender and so forth.",让一个本地人将这些句子翻译成过去，现在，和将来式， 就能使你解析他们的语法 找到主语、宾语、动词、 间接和直接宾语的位置、语法性别，等等。
Here's some SLA parts of the same thing.,这里是一些原型部分，是同样的东西。
"Again, this theme is about variable cost, variable living.",再一次，主题是变动成本和变动生活。
And it is really not suited for the future that we're moving into.,实在不适合我们的未来， 我们即将进入的未来。
This is a chart that Dr. Clark Chapman at the Southwest Research Institute presented to Congress a few years ago.,这是西南研究所的克拉克查普曼博士所绘制的图表， 并在几年前提交给了国会。
Fill in the blanks.,没说到的地方就需要你们发挥想象填补空白了
Maybe you had a direct line.,你可能会有直线电话。
"Now, we started working on this a while ago at Oxford University, and we tried to start very simply.",在牛津大学我们已经开始一段时间的研究了， 我们一开始做得很简单，
"Pucker up big and lean in just a little bit, okay?",嘟起来，然后靠近点，好的
Let me help you with some things that you might be thinking.,让我来帮你整理一下 你的思绪
The meme went out there.,由此而来
"And by the way, you don't need to do it either; it's just that you've always done it and you carry on doing it.",顺便说一句，你同样也不需要； 仅仅是因为你习惯了，你就继续做下去。
They connect people to one another.,他们联系一个人和另外的人.
"They, that one, is hairy and walking on four legs.",他们，那个家伙 浑身是毛，用四条腿走路
And that's what I came up with.,这就是我所发现的。
A couple of examples.,举几个例子吧。
"Now, about that cow model I talked about.",现在，再回到我刚才说到的母牛模式。
"Here's a great example from history. I've heard this attributed to several other kings, but doing a bit of historical research, it seems to be Fredrick the Great.",历史上有个很好的例子。我听说有人把这件事被归功于其他几个国王， 但我做了一些历史研究， 应该发生在弗雷德里克大帝身上。
I'm going to talk about your mindset.,我会来谈谈你们的心态。
"No, I think that's wrong.",不，我认为这不会发生。
"Solving the world's problems can be done, if you really put your mind to it and use clean, renewable energy.",这个世界性问题是可以解决的。 如果你真的用心去思考并且坚持使用清洁可再生能源的话
They were Twittering it.,他们推特这个信息。
"And what I want to call your attention to is not the Mermaid Parade itself, charming though it is, but rather to these photos.",虽说游行本身也不错，但是我更想让大家关注的 却是这些照片。
Here's an example from Chicago kindergarten.,这是一个芝加哥幼儿园的例子。
Or you can go to the Random House website where there is this excerpt.,你也可以去兰登书屋网站找到这段节选，
Then comes my favorite part of the question.,（文字：有多少次像风，像杆子，像龙？） （笑声） 接下来是最好玩的部分
"We also have the mathematics to describe how neurons collect information, and how they create a little lightning bolt to communicate with each other.",我们也有 神经元采集信息的数学描述， 以及它们如何制造闪电 来和彼此通讯的。
They sense their neighbors.,它们是靠感应邻近的蚂蚁
"And, you know, you must be joking if you think you can get a slot.",如果你认为你能得到那个空位 真是太好笑了
And here are some excerpts.,这是一部分节选。
Who would go for bananas?,有多少人吃香蕉，请举手
"And you'll get paid for it. You can think about it, if you want.",你还可以拿到工资 好好想想吧
They have epistemological modesty.,他们在知识论上保持谦虚。
Now take it to the last step.,再把这个想法提升到最后一层。
So it looks a little bit like this.,这看起来有点像这样。
"And the unseen, you have to admit, doesn't come to us through the senses.",而那些不可见的--你得承认-- 可不是从感官得来的
You start to get into detail.,你得从细节着手
Imagine how you feel when you see somebody on street who is begging and you're about to approach them.,想象一下你的感觉 当你看到一个人在街上乞讨时 而你又向他走去
So it should look like this. You should be looking at something like this.,就是这样。你看到的就像这个。
Do you think it would have helped John McCain?,你觉得这会帮到约翰･麦凯恩？
"And the women, who I was so privileged to meet when there were three survivors, told these stories about lying in their cots in the refugee camps.",我有幸见到了最后幸存至今日的 三名幸存者当中的一位 她说当时她们躺在 难民营的小床里
And you actually don't have a lot of options.,实际上你没有太多的选择。
There are a few key points.,这是一些要点
I've actually coined a term for that entity in the computer.,事实上我为计算机里的那个实体（病人）创造了个新词
That thing is called a CAPTCHA.,这个称作验证码
And I'll get into why we've so far been spared in a moment.,下面我就要讲为什么我们会暂时幸免。
And what's the context of the Phoenix Islands?,那么，菲尼克斯是什么背景呢？
"I want you to do it fast, and say it out loud with me, and do it quickly. I'll make the first one easy for you.",你们要说得快 大声的念出来 要说得快 第一个会比较简单
And I'd like to talk about some of those just for the next few minutes.,我想在下面的几分钟内 谈论一下其中的某些想法。
"Of course it's meant to be funny, but in all seriousness, suicidal ideation is quite common with traumatic brain injuries.",当然，这听起来有点好笑， 但是老实说， 自杀的想法是十分的普偏的被 大脑受伤后的精神创伤影响着的。
"So now when you know what to expect, let's give you the story.",（笑声） 相信大家已经知道接下来会发生什么了 那么，让我们从一个故事开始吧
"Gobble, gobble, gobble, gobble, gobble.","格格,格格,格格,格格,格格"
"Then it would be accurate, but it would be completely impossible to understand.",现在或许是精确了 但是已经完全无法让人理解了
And I'll show you what we came up with.,接下来我将展示我们的成果。
We collide them inside giant detectors.,我们使质子在巨型探测器内对撞
"And you can probably think of many, many more in your own everyday lives.",也许你可以想到更多 生活中的例子
There is no way for us not to see this illusion.,我们没有办法不受这个错觉影响。
"So we won't give the rest of the code, but we will give the three quotations.",我们不会给出剩下的密码 但是我们给出这三句引言
I trained briefly as a Buddhist monk under this guy.,我曾经短期师从此人，作一个佛教徒
"Now, I have three options that I would like to show you.",现在，我想展示三种可能性。
"And then if you have something you're proud of, you can share it with every other person who owns a robot in the world.",如果这些程序让你很自豪， 你可以向全世界所有有这款机器人的玩家分享你的代码。
And the other is where you want to explain the same thing in different ways.,这种方法就是你想通过不同的方法解释一件事情.
